name,type,category,division,description,url,source,retrieved_at
Capital,Software,E/E systems design,Digital Industries Software,"Electrical, wiring-harness and embedded-network design software (automotive/aerospace).",https://plm.sw.siemens.com/en-US/capital/,software_catalogue,2026-06-25T15:24:44+00:00
Mendix,Software,Low-code platform,Digital Industries Software,Enterprise low-code application development platform for building business apps fast.,https://www.mendix.com/,software_catalogue,2026-06-25T15:24:44+00:00
Insights Hub (ex-MindSphere),Software,Industrial IoT,Digital Industries Software,"Industrial IoT-as-a-service: connect assets, run analytics & AI from edge to cloud (built on Mendix).",https://www.siemens.com/en-us/products/insights-hub/,software_catalogue,2026-06-25T15:24:44+00:00
Supplyframe,Software,Design-to-source / supply chain,Digital Industries Software,Design-to-source intelligence platform for the global electronics value chain.,https://www.supplyframe.com/,software_catalogue,2026-06-25T15:24:44+00:00
Digital Logistics,Software,Supply chain,Digital Industries Software,"Software and consulting to plan, execute and optimize logistics networks.",https://www.sw.siemens.com/en-US/portfolio/,software_catalogue,2026-06-25T15:24:44+00:00
Parasolid,Software,Geometric modeling kernel,Digital Industries Software,3D geometric modeling kernel licensed to CAD/CAM/CAE software vendors.,https://plm.sw.siemens.com/en-US/plm-components/,software_catalogue,2026-06-25T15:24:44+00:00
D-Cubed,Software,Geometric constraint components,Digital Industries Software,"Component software for geometric constraints, collision detection and motion.",https://plm.sw.siemens.com/en-US/plm-components/,software_catalogue,2026-06-25T15:24:44+00:00
JT / JT2Go,Software,3D visualization format,Digital Industries Software,Lightweight 3D data format (ISO standard) and free viewer for PLM visualization.,https://plm.sw.siemens.com/en-US/plm-components/,software_catalogue,2026-06-25T15:24:44+00:00
Calibre,Software,IC physical verification / DFM,Siemens EDA,Industry-standard signoff DRC/LVS/DFM for IC physical verification.,https://eda.sw.siemens.com/en-US/ic/calibre-design/,software_catalogue,2026-06-25T15:24:44+00:00
Tessent,Software,Silicon test / DFT,Siemens EDA,"Design-for-test, ATPG, embedded analytics and silicon lifecycle solutions.",https://eda.sw.siemens.com/en-US/ic/tessent/,software_catalogue,2026-06-25T15:24:44+00:00
Questa,Software,Functional verification,Siemens EDA,Digital simulation plus formal and functional verification.,https://eda.sw.siemens.com/en-US/ic/questa/,software_catalogue,2026-06-25T15:24:44+00:00
ModelSim,Software,HDL simulation,Siemens EDA,Entry/mid-range HDL (VHDL/Verilog) simulator.,https://eda.sw.siemens.com/en-US/ic/questa/,software_catalogue,2026-06-25T15:24:44+00:00
Veloce,Software,Hardware-assisted verification,Siemens EDA,Emulation and prototyping platform for large SoC verification.,https://eda.sw.siemens.com/en-US/ic/veloce/,software_catalogue,2026-06-25T15:24:44+00:00
Catapult HLS,Software,High-level synthesis,Siemens EDA,C++/SystemC high-level synthesis for IC and AI-accelerator design.,https://eda.sw.siemens.com/en-US/ic/catapult-high-level-synthesis/,software_catalogue,2026-06-25T15:24:44+00:00
Aprisa,Software,Digital implementation (P&R),Siemens EDA,AI-driven digital place-and-route for chip implementation.,https://eda.sw.siemens.com/en-US/ic/aprisa/,software_catalogue,2026-06-25T15:24:44+00:00
Analog FastSPICE (AFS),Software,Analog/RF simulation,Siemens EDA,"High-capacity, high-accuracy analog/RF/mixed-signal circuit simulation.",https://eda.sw.siemens.com/en-US/ic/analog-fastspice/,software_catalogue,2026-06-25T15:24:44+00:00
Solido,Software,Variation-aware design / AI,Siemens EDA,Library characterization and variation-aware analog design using machine learning.,https://eda.sw.siemens.com/en-US/ic/solido/,software_catalogue,2026-06-25T15:24:44+00:00
Eldo,Software,Analog simulation,Siemens EDA,Analog/mixed-signal SPICE-class circuit simulation.,https://eda.sw.siemens.com/en-US/ic/,software_catalogue,2026-06-25T15:24:44+00:00
Xpedition,Software,PCB design,Siemens EDA,"Enterprise PCB design, layout and systems engineering.",https://eda.sw.siemens.com/en-US/pcb/xpedition/,software_catalogue,2026-06-25T15:24:44+00:00
PADS Professional,Software,PCB design,Siemens EDA,Mid-market desktop PCB design and layout.,https://eda.sw.siemens.com/en-US/pcb/pads-professional/,software_catalogue,2026-06-25T15:24:44+00:00
HyperLynx,Software,Signal/power integrity,Siemens EDA,Signal and power integrity analysis and PCB verification.,https://eda.sw.siemens.com/en-US/pcb/hyperlynx/,software_catalogue,2026-06-25T15:24:44+00:00
Valor NPI,Software,PCB manufacturing / DFM,Siemens EDA,Design-for-manufacturing and PCB manufacturing data preparation.,https://eda.sw.siemens.com/en-US/pcb/valor-npi/,software_catalogue,2026-06-25T15:24:44+00:00
PAVE360,Software,Digital twin for SoC/vehicle,Siemens EDA,System-level digital twin for chip-to-vehicle verification of autonomous systems.,https://eda.sw.siemens.com/en-US/ic/,software_catalogue,2026-06-25T15:24:44+00:00
Avery Design IP,Software,Verification IP,Siemens EDA,"Simulation-based verification IP for industry protocols (PCIe, CXL, etc.).",https://eda.sw.siemens.com/en-US/ic/,software_catalogue,2026-06-25T15:24:44+00:00
Altair,Software,Simulation / HPC / AI,Digital Industries Software,"Simulation, high-performance computing and data-science/AI portfolio (HyperWorks, OptiStruct, Radioss, Feko, RapidMiner, PBS Pro).",https://altair.com/,software_catalogue,2026-06-25T15:24:44+00:00
Senseye Predictive Maintenance,Software,Predictive maintenance,Digital Industries Software,AI-powered predictive maintenance and asset performance/reliability.,https://www.senseye.io/,software_catalogue,2026-06-25T15:24:44+00:00
UltraSoC,Software,On-chip monitoring/security,Siemens EDA,"On-chip analytics/monitoring for safety, security and optimization (now within Tessent).",https://eda.sw.siemens.com/en-US/ic/tessent/,software_catalogue,2026-06-25T15:24:44+00:00
Building X,Software,Building management (SaaS),Smart Infrastructure,"Open, cloud-based digital building platform for management, energy, comfort, security and sustainability.",https://www.siemens.com/global/en/products/buildings/building-x.html,software_catalogue,2026-06-25T15:24:44+00:00
Desigo CC,Software,Building management system,Smart Infrastructure,"Multi-discipline building management platform (HVAC, fire safety, security, power, lighting).",https://www.siemens.com/us/en/products/buildingtechnologies/automation/desigo-cc.html,software_catalogue,2026-06-25T15:24:44+00:00
Desigo,Software,Building automation,Smart Infrastructure,"Building automation system for HVAC, room and energy control.",https://www.siemens.com/en-us/products/desigo/,software_catalogue,2026-06-25T15:24:44+00:00
Brightly Software,Software,Asset/maintenance mgmt (CMMS/EAM),Smart Infrastructure,"SaaS asset lifecycle, CMMS & EAM across education, public infrastructure, healthcare, manufacturing.",https://www.brightlysoftware.com/,software_catalogue,2026-06-25T15:24:44+00:00
Enlighted,Software,IoT sensors / smart lighting,Smart Infrastructure,"IoT sensors, smart lighting controls and spatial intelligence (core lighting winding down; Enlighted Connect retained).",https://www.enlightedinc.com/,software_catalogue,2026-06-25T15:24:44+00:00
Comfy,Software,Workplace experience app,Smart Infrastructure,"Mobile app for workplace and room booking, navigation and comfort control.",https://www.comfyapp.com/,software_catalogue,2026-06-25T15:24:44+00:00
Siemens Navigator,Software,Energy & sustainability,Smart Infrastructure,Cloud energy management and sustainability analytics (now part of Building X).,https://www.siemens.com/global/en/products/buildings/building-x.html,software_catalogue,2026-06-25T15:24:44+00:00
Connect Box,Software,Building IoT device,Smart Infrastructure,Plug-and-play IoT solution to monitor and manage small and mid-sized buildings.,https://www.siemens.com/global/en/products/buildings/building-x.html,software_catalogue,2026-06-25T15:24:44+00:00
Electrification X,Software,Energy network management,Smart Infrastructure,"Smart energy network management for TSOs, DSOs, industry and infrastructure.",https://www.siemens.com/global/en/products/energy/grid-software.html,software_catalogue,2026-06-25T15:24:44+00:00
Gridscale X,Software,Grid management software,Grid Software,"Modular autonomous grid management: unifies planning, operations, asset management and metering.",https://www.siemens.com/en-us/products/gridscale-x/,software_catalogue,2026-06-25T15:24:44+00:00
PSS®E,Software,Power system simulation,Grid Software,Transmission system planning and analysis simulation.,https://www.siemens.com/global/en/products/energy/grid-software.html,software_catalogue,2026-06-25T15:24:44+00:00
PSS®SINCAL,Software,Power network analysis,Grid Software,Distribution and transmission network planning and analysis.,https://www.siemens.com/global/en/products/energy/grid-software.html,software_catalogue,2026-06-25T15:24:44+00:00
EnergyIP,Software,Meter data management,Grid Software,Meter data management (MDM) platform for utility smart-metering.,https://www.siemens.com/global/en/products/energy/grid-software.html,software_catalogue,2026-06-25T15:24:44+00:00
Spectrum Power,Software,SCADA / ADMS / EMS,Grid Software,"Grid control software: SCADA, EMS and ADMS (consolidating into Gridscale X).",https://www.siemens.com/global/en/products/energy/grid-software.html,software_catalogue,2026-06-25T15:24:44+00:00
Railigent X,Software,Rail asset management / analytics,Mobility,"Cloud app suite for rail asset operation, maintenance and lifecycle management (IoT + AI).",https://www.mobility.siemens.com/global/en/portfolio/digital-solutions-software/digital-services/railigent-x.html,software_catalogue,2026-06-25T15:24:44+00:00
Signaling X,Software,Cloud rail signaling,Mobility,Cloud-native suite that integrates different signaling systems and opens their interfaces.,https://www.mobility.siemens.com/global/en/portfolio/digital-solutions-software/digital-services.html,software_catalogue,2026-06-25T15:24:44+00:00
Controlguide OCS / TMS,Software,Operations control / traffic mgmt,Mobility,Operations control and traffic management systems for rail networks.,https://www.mobility.siemens.com/global/en/portfolio/rail/automation/operations-control-systems/controlguide-ocs.html,software_catalogue,2026-06-25T15:24:44+00:00
Railigent Connect,Software,Connectivity retrofit,Mobility,Secure connectivity and data-transmission retrofit hardware/software for rail assets.,https://www.mobility.siemens.com/global/en/portfolio/digital-solutions-software/digital-services/connectivity-and-data-transmission-for-rail-systems.html,software_catalogue,2026-06-25T15:24:44+00:00
TIA Portal,Software,Automation engineering,Digital Industries,"Totally Integrated Automation engineering framework bundling STEP 7, WinCC, Startdrive, SIMOCODE ES, SIMOTION SCOUT.",https://www.siemens.com/en-us/products/tia-portal/,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC STEP 7,Software,PLC programming,Digital Industries,Programming and engineering software for SIMATIC controllers.,https://www.siemens.com/en-us/products/tia-portal/,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC WinCC,Software,HMI / SCADA,Digital Industries,Visualization / SCADA software for machines and plants.,https://www.siemens.com/en-us/products/simatic/,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC,Software,Industrial automation platform,Digital Industries,"Controllers (S7), distributed I/O, HMI, industrial PCs and engineering software.",https://www.siemens.com/en-us/products/simatic/,software_catalogue,2026-06-25T15:24:44+00:00
SINUMERIK ONE,Software,CNC control,Digital Industries,Digital-native CNC system with built-in digital twin for machine tools.,https://www.siemens.com/en-us/products/sinumerik/one/,software_catalogue,2026-06-25T15:24:44+00:00
SINAMICS Startdrive,Software,Drives engineering,Digital Industries,Engineering and commissioning of SINAMICS drives within TIA Portal.,https://www.siemens.com/en-us/products/tia-portal/,software_catalogue,2026-06-25T15:24:44+00:00
SINEC,Software,Industrial networking software,Digital Industries,Network management and security software for industrial/OT networks.,https://www.siemens.com/en-us/products/automation/industry-software.html,software_catalogue,2026-06-25T15:24:44+00:00
SIMIT,Software,Virtual commissioning sim,Digital Industries,Simulation platform for virtual commissioning and operator training of automation systems.,https://www.siemens.com/en-us/products/automation/industry-software.html,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter HEEDS,Software,Design exploration / MDAO,Digital Industries Software,Automated design-space exploration and multidisciplinary design optimization across simulation tools.,https://www.siemens.com/en-us/products/simcenter/integration-solutions/heeds/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter Prescan,Software,ADAS / AV simulation,Digital Industries Software,Physics-based scenario simulation for developing and validating ADAS and autonomous-vehicle functions.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter Nastran,Software,FEM solver,Digital Industries Software,"Premier finite-element solver for structural, dynamics, acoustics, rotor-dynamics and optimization analysis.",https://www.siemens.com/en-us/products/simcenter/mechanical-simulation/nastran/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter MAGNET,Software,Electromagnetics,Digital Industries Software,"Low-frequency electromagnetic field simulation for motors, transformers and actuators.",https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter SPEED / Motorsolve,Software,Electric-machine design,Digital Industries Software,Template-based design and analysis of electric motors and generators.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Volume Graphics,Software,Industrial CT / metrology,Digital Industries Software,"Industrial computed-tomography analysis software for non-destructive testing, metrology and quality.",https://www.volumegraphics.com/,software_catalogue,2026-06-25T15:24:44+00:00
Nextflow Software,Software,Particle-based CFD (SPH),Digital Industries Software,Meshless / particle-based (SPH) CFD for complex free-surface and moving-geometry flows.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Geolus,Software,Shape-based search,Digital Industries Software,Geometric shape-search engine to find and reuse similar parts across the enterprise.,https://www.siemens.com/en-us/products/plm-components/geolus/,software_catalogue,2026-06-25T15:24:44+00:00
Syncrofit,Software,Composite assembly engineering,Digital Industries Software,Engineering of large composite and metallic aerostructure assemblies.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
NX CAM,Software,Computer-aided manufacturing,Digital Industries Software,CNC programming and machining (CAM) module within the NX suite.,https://plm.sw.siemens.com/en-US/nx/,software_catalogue,2026-06-25T15:24:44+00:00
Teamcenter Service Lifecycle Mgmt,Software,Service PLM,Digital Industries Software,"Manage service requirements, parts and maintenance plans across the product service lifecycle.",https://www.siemens.com/en-us/products/teamcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Teamcenter Product Cost Mgmt,Software,Product costing,Digital Industries Software,Calculate and optimize product and tooling cost across design and sourcing.,https://www.siemens.com/en-us/products/teamcenter/,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC PCS 7,Software,Distributed control system (DCS),Digital Industries,"Established distributed control system for continuous, batch and hybrid process plants.",https://www.siemens.com/global/en/products/automation/process-control/simatic-pcs-7.html,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC PCS neo,Software,Web-based DCS,Digital Industries,Fully web-based distributed control system for global engineering and operations collaboration.,https://www.siemens.com/en-us/products/process-control/simatic-pcs-neo/,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC WinCC OA,Software,High-end SCADA,Digital Industries,"Highly scalable, high-availability SCADA for large/distributed industrial and infrastructure systems.",https://www.winccoa.com/,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC WinCC Unified,Software,HMI / SCADA,Digital Industries,Web-native HMI/SCADA visualization for machines and plants.,https://www.siemens.com/en-us/products/simatic/,software_catalogue,2026-06-25T15:24:44+00:00
Industrial Edge,Software,Edge-computing platform,Digital Industries,"Platform to deploy and manage apps at the shop-floor edge, bridging automation and cloud.",https://www.siemens.com/global/en/products/automation/topic-areas/industrial-edge.html,software_catalogue,2026-06-25T15:24:44+00:00
PLCSIM Advanced,Software,Virtual PLC simulation,Digital Industries,Simulate SIMATIC controllers for virtual commissioning and testing.,https://www.siemens.com/en-us/products/tia-portal/,software_catalogue,2026-06-25T15:24:44+00:00
SIMATIC Energy Manager,Software,Energy management,Digital Industries,"Acquire, monitor and analyze plant energy data for efficiency and reporting.",https://www.siemens.com/en-us/products/automation/industry-software.html,software_catalogue,2026-06-25T15:24:44+00:00
Nucleus RTOS,Software,Real-time operating system,Siemens EDA,Real-time operating system for safety- and reliability-critical embedded devices.,https://eda.sw.siemens.com/en-US/embedded/,software_catalogue,2026-06-25T15:24:44+00:00
Sourcery CodeBench,Software,Embedded dev tools,Siemens EDA,C/C++ IDE and toolchain for embedded software development and debugging.,https://eda.sw.siemens.com/en-US/embedded/,software_catalogue,2026-06-25T15:24:44+00:00
Siveillance,Software,Video / security management,Smart Infrastructure,Video management and physical-security information management (PSIM) software.,https://www.siemens.com/global/en/products/buildings/safety-security.html,software_catalogue,2026-06-25T15:24:44+00:00
SiPass integrated,Software,Access control,Smart Infrastructure,Scalable access-control software for buildings and campuses.,https://www.siemens.com/global/en/products/buildings/safety-security.html,software_catalogue,2026-06-25T15:24:44+00:00
Cerberus DMS,Software,Fire safety management,Smart Infrastructure,Danger-management station unifying fire detection and life-safety systems.,https://www.siemens.com/global/en/products/buildings/safety-security.html,software_catalogue,2026-06-25T15:24:44+00:00
powermanager / SENTRON,Software,Power monitoring,Smart Infrastructure,Power-monitoring software for energy transparency in low-voltage distribution.,https://www.siemens.com/global/en/products/energy/low-voltage.html,software_catalogue,2026-06-25T15:24:44+00:00
SIMARIS,Software,Electrical network planning,Smart Infrastructure,Planning and dimensioning software for electrical power distribution.,https://www.siemens.com/global/en/products/energy/low-voltage.html,software_catalogue,2026-06-25T15:24:44+00:00
DIGSI,Software,Protection-relay engineering,Grid Software,Engineering software for configuring SIPROTEC protection relays.,https://www.siemens.com/global/en/products/energy/grid-software.html,software_catalogue,2026-06-25T15:24:44+00:00
SICAM,Software,Substation / grid automation,Grid Software,"Substation automation, RTU and grid-SCADA software/hardware.",https://www.siemens.com/global/en/products/energy/grid-software.html,software_catalogue,2026-06-25T15:24:44+00:00
Vicos,Software,Operations control system,Mobility,Operations control / supervision system for mass-transit and mainline rail.,https://www.mobility.siemens.com/global/en/portfolio/rail.html,software_catalogue,2026-06-25T15:24:44+00:00
Sicas ECC,Software,Electronic interlocking,Mobility,Electronic interlocking system for safe rail route control.,https://www.mobility.siemens.com/global/en/portfolio/rail.html,software_catalogue,2026-06-25T15:24:44+00:00
Trackguard,Software,Train control / ETCS,Mobility,Train control and ETCS signaling for mainline and high-speed rail.,https://www.mobility.siemens.com/global/en/portfolio/rail.html,software_catalogue,2026-06-25T15:24:44+00:00
S-Life FKM by PART Engineering,Product,Products,X EM,S-Life FKM is a post-processor for static and fatigue strength assessment of FEA results per the FKM guideline. It processes computed stresses to deliver sta...,https://www.siemens.com/en-us/products/siemens-industry-software-s-life-fkm-by-part-engineering/,sitemap-en-us,2026-06-25T15:24:46+00:00
Coustyx by Advanced Numerical Solutions,Product,Products,X EM,Coustyx is a software for computing Sound Fields. Coustyx integrates Advanced Boundary Element (BEM) formulations with Fast Multipole Method (FMM) to yield f...,https://www.siemens.com/en-us/products/siemens-industry-software-coustyx-by-advanced-numerical-solutions/,sitemap-en-us,2026-06-25T15:24:47+00:00
SIMATIC HMI,Product,Products,DI FA,SIMATIC HMI is a wide-ranging portfolio of industrial operator control and monitoring systems from machine-level visualization to distributed SCADA systems.,https://www.siemens.com/en-us/products/simatic-hmi/,sitemap-en-us,2026-06-25T15:24:48+00:00
SIMATIC WinCC Unified PC,Product,Simatic hmi,DI FA,"Seamless IT/OT integration, plant-wide visualization, data handling, and system access with the scalable and open SCADA software of the WinCC Unified system.",https://www.siemens.com/en-us/products/simatic-hmi/wincc-unified-software/,sitemap-en-us,2026-06-25T15:24:48+00:00
VABS™ by Analyswift,Product,Products,X EM,VABS™ is an efficient and accurate cross-sectional analysis tool for computing beam properties and 3D stresses/strains in slender composite structures. It’s...,https://www.siemens.com/en-us/products/siemens-industry-software-vabs-by-analyswift/,sitemap-en-us,2026-06-25T15:24:49+00:00
SCALANCE S Industrial Security Appliance,Product,Scalance,DI PA,The SCALANCE S Industrial Security Appliance protects industrial networks & devices by segmenting the network and establishing secure communications channels.,https://www.siemens.com/en-us/products/scalance/s-industrial-security-appliance/,sitemap-en-us,2026-06-25T15:24:50+00:00
Inhab® Power Mod™ with Rapidflx™,Product,Inhab,SI EP,"Future‑proof multifamily power with Inhab Power Mod. Enable EV charging, solar readiness and flexible, space‑saving electrical infrastructure.",https://www.siemens.com/en-us/products/low-voltage/inhab/rapidflx-power-mod/,sitemap-en-us,2026-06-25T15:24:51+00:00
Tessent Embedded Analytics,Product,Tessent,DI SW EDA,"Tessent Embedded Analytics for functional monitoring, enabling processor & system-wide trace & debug in real-time & post-deployment analytics for complex SoCs",https://www.siemens.com/en-us/products/ic/tessent/embedded-analytics/,sitemap-en-us,2026-06-25T15:24:51+00:00
SIRIUS 3RC7 intelligent link module,Product,Sirius,SI EP,"The SIRIUS 3RC7 intelligent link module (ILM), part of the SIRIUS Modular System, enables seamless digital communication from the field level to the cloud.",https://www.siemens.com/en-us/products/sirius/3rc7-intelligent-link-module/,sitemap-en-us,2026-06-25T15:24:52+00:00
ACM Suite,Product,Products,DI MC,Process more parts and reduce machining costs without changing existing processes and NC programs,https://www.siemens.com/en-us/products/janus-engineering-acm-suite/,sitemap-en-us,2026-06-25T15:24:53+00:00
"Virtual Reality, Immersive CAD Design Software with AR",Product,Immersive engineering technologies,DI SW PLM,"Designcenter Immersive combines the real and digital worlds with precise 3D interaction, stunning visuals, and seamless integration.",https://www.siemens.com/en-us/products/designcenter/nx-cad-software/immersive-engineering-technologies/immersive-xr-design-reviews/,sitemap-en-us,2026-06-25T15:24:53+00:00
Immersive Engineering with Designcenter,Product,Nx cad software,DI SW PLM,Experience next-level CAD engineering software & hardware enhancing technology within XR environments to enable design interactions with a digital twin.,https://www.siemens.com/en-us/products/designcenter/nx-cad-software/immersive-engineering-technologies/,sitemap-en-us,2026-06-25T15:24:54+00:00
Mastertrim seat engineering,Product,Workflows,DI SW PLM,Mastertrim software offers the unique technology and methods used for seat engineering & vital for meeting all the requirements and streamlining processes,https://www.siemens.com/en-us/products/designcenter/nx-cad-software/workflows/mastertrim-seat-design-engineering/,sitemap-en-us,2026-06-25T15:24:55+00:00
Part design and modeling,Product,Workflows,DI SW PLM,"Automate your tool development process including part design, tool assembly layout, and detailed tooling design and validation leveraging Designcenter.",https://www.siemens.com/en-us/products/designcenter/nx-cad-software/workflows/jig-fixture-tooling/,sitemap-en-us,2026-06-25T15:24:56+00:00
Medical device development,Product,Workflows,DI SW PLM,"Produce cutting-edge medical devices with Designcenter. Enjoy faster, easier updates, refinements and regulatory approval. Innovate with speed & confidence.",https://www.siemens.com/en-us/products/designcenter/nx-cad-software/workflows/medical-device-design/,sitemap-en-us,2026-06-25T15:24:56+00:00
Financing intelligent rail,Product,Financial services,CM,"Unlock sustainable mobility with Siemens. We offer innovative rail finance solutions for infrastructure, rolling stock, and transportation projects globally.",https://www.siemens.com/en-us/products/financial-services/rail/,sitemap-en-us,2026-06-25T15:24:57+00:00
Marine CAD,Product,Workflows,DI SW PLM,Designcenter provides the marine industry a full suite of CAD tools including Foran that work in product development from concept design to manufacturing,https://www.siemens.com/en-us/products/designcenter/nx-cad-software/workflows/marine-design/,sitemap-en-us,2026-06-25T15:24:58+00:00
